grade,base_pd,stressed_pd,pd_multiplier
A,0.0113,0.0493,4.36
B,0.0203,0.0886,4.36
C,0.0334,0.1455,4.36
D,0.0497,0.2169,4.36
E,0.0721,0.3144,4.36
F,0.0971,0.4234,4.36
G,0.1326,0.5783,4.36
H,0.2083,0.9087,4.36
