vintage_year,loans,default_rate,disposed_defaults,avg_lgd,median_lgd,avg_ead
2007,50000,0.1374,4479,0.5783,0.5631,186177.015
2008,50000,0.0735,2134,0.5441,0.5131,198213.9893
2015,50000,0.0242,136,0.2464,0.1678,197949.9096
