grade,rate_180dpd,rate_90dpd,uplift_x
A,0.0004,0.0007,1.75
B,0.0011,0.0023,2.09
C,0.0014,0.0026,1.86
D,0.0025,0.0046,1.84
E,0.0063,0.0143,2.27
F,0.0096,0.0197,2.05
G,0.0141,0.0316,2.24
H,0.0267,0.0475,1.78
