loan_sequence_number,grade,grade_pd_longrun,grade_pd_final
F08Q30232457,F,0.0098,0.011
F08Q30232461,H,0.0236,0.0267
F08Q30232468,H,0.0236,0.0267
F08Q30232472,F,0.0098,0.011
F08Q30232481,B,0.0012,0.0016
F08Q30232486,H,0.0236,0.0267
F08Q30232519,G,0.0129,0.0143
F08Q30232542,D,0.0025,0.0031
F08Q30232572,H,0.0236,0.0267
F08Q30232582,B,0.0012,0.0016
F08Q30232622,A,0.0005,0.0008
F08Q30232625,C,0.0015,0.002
F08Q30232627,H,0.0236,0.0267
F08Q30232692,E,0.006,0.0069
F08Q30232712,C,0.0015,0.002
F08Q30232722,F,0.0098,0.011
F08Q30232725,H,0.0236,0.0267
F08Q30232738,D,0.0025,0.0031
F08Q30232743,E,0.006,0.0069
F08Q30232754,B,0.0012,0.0016
F08Q30232796,H,0.0236,0.0267
F08Q30232809,E,0.006,0.0069
F08Q30232838,F,0.0098,0.011
F08Q30232853,H,0.0236,0.0267
F08Q30232861,G,0.0129,0.0143
F08Q30232867,C,0.0015,0.002
F08Q30232892,F,0.0098,0.011
F08Q30232938,G,0.0129,0.0143
F08Q30232945,G,0.0129,0.0143
F08Q30232956,C,0.0015,0.002
F08Q30232966,D,0.0025,0.0031
F08Q30232979,H,0.0236,0.0267
F08Q30232989,E,0.006,0.0069
F08Q30233044,B,0.0012,0.0016
F08Q30233045,H,0.0236,0.0267
F08Q30233057,G,0.0129,0.0143
F08Q30233059,H,0.0236,0.0267
F08Q30233086,B,0.0012,0.0016
F08Q30233097,B,0.0012,0.0016
F08Q30233118,B,0.0012,0.0016
F08Q30233126,E,0.006,0.0069
F08Q30233135,F,0.0098,0.011
F08Q30233150,C,0.0015,0.002
F08Q30233157,F,0.0098,0.011
F08Q30233169,A,0.0005,0.0008
F08Q30233177,C,0.0015,0.002
F08Q30233202,A,0.0005,0.0008
F08Q30233284,E,0.006,0.0069
F08Q30233352,H,0.0236,0.0267
F08Q30233386,B,0.0012,0.0016
F08Q30233393,E,0.006,0.0069
F08Q30233400,A,0.0005,0.0008
F08Q30233407,E,0.006,0.0069
F08Q30233409,G,0.0129,0.0143
F08Q30233439,G,0.0129,0.0143
F08Q30233448,H,0.0236,0.0267
F08Q30233452,H,0.0236,0.0267
F08Q30233495,B,0.0012,0.0016
F08Q30233517,F,0.0098,0.011
F08Q30233550,E,0.006,0.0069
F08Q30233570,E,0.006,0.0069
F08Q30233616,F,0.0098,0.011
F08Q30233696,H,0.0236,0.0267
F08Q30233737,A,0.0005,0.0008
F08Q30233753,E,0.006,0.0069
F08Q30233809,E,0.006,0.0069
F08Q30233832,C,0.0015,0.002
F08Q30233841,A,0.0005,0.0008
F08Q30233846,H,0.0236,0.0267
F08Q30233887,A,0.0005,0.0008
F08Q30233906,A,0.0005,0.0008
F08Q30233910,G,0.0129,0.0143
F08Q30233937,A,0.0005,0.0008
F08Q30233994,A,0.0005,0.0008
F08Q30234006,E,0.006,0.0069
F08Q30234023,F,0.0098,0.011
F08Q30234035,G,0.0129,0.0143
F08Q30234038,B,0.0012,0.0016
F08Q30234079,D,0.0025,0.0031
F08Q30234113,E,0.006,0.0069
F08Q30234124,E,0.006,0.0069
F08Q30234129,F,0.0098,0.011
F08Q30234146,C,0.0015,0.002
F08Q30234155,F,0.0098,0.011
F08Q30234211,E,0.006,0.0069
F08Q30234215,B,0.0012,0.0016
F08Q30234256,A,0.0005,0.0008
F08Q30234262,D,0.0025,0.0031
F08Q30234270,H,0.0236,0.0267
F08Q30234288,H,0.0236,0.0267
F08Q30234296,B,0.0012,0.0016
F08Q30234301,C,0.0015,0.002
F08Q30234328,F,0.0098,0.011
F08Q30234375,H,0.0236,0.0267
F08Q30234429,G,0.0129,0.0143
F08Q30234436,A,0.0005,0.0008
F08Q30234474,D,0.0025,0.0031
F08Q30234500,F,0.0098,0.011
F08Q30234509,D,0.0025,0.0031
F08Q30234530,C,0.0015,0.002
F08Q30234562,H,0.0236,0.0267
F08Q30234577,A,0.0005,0.0008
F08Q30234612,B,0.0012,0.0016
F08Q30234624,A,0.0005,0.0008
F08Q30234634,H,0.0236,0.0267
F08Q30234636,G,0.0129,0.0143
F08Q30234663,E,0.006,0.0069
F08Q30234692,H,0.0236,0.0267
F08Q30234705,E,0.006,0.0069
F08Q30234720,C,0.0015,0.002
F08Q30234745,G,0.0129,0.0143
F08Q30234752,A,0.0005,0.0008
F08Q30234757,B,0.0012,0.0016
F08Q30234760,A,0.0005,0.0008
F08Q30234851,G,0.0129,0.0143
F08Q30234939,C,0.0015,0.002
F08Q30234955,A,0.0005,0.0008
F08Q30234965,F,0.0098,0.011
F08Q30234996,D,0.0025,0.0031
F08Q30235017,E,0.006,0.0069
F08Q30235022,F,0.0098,0.011
F08Q30235037,F,0.0098,0.011
F08Q30235039,D,0.0025,0.0031
F08Q30235041,H,0.0236,0.0267
