loan_sequence_number,grade,grade_pd_longrun,grade_pd_final
F08Q40006320,E,0.006,0.0069
F08Q40006339,A,0.0005,0.0008
F08Q40006359,C,0.0015,0.002
F08Q40006366,G,0.0129,0.0143
F08Q40006381,C,0.0015,0.002
F08Q40006387,E,0.006,0.0069
F08Q40006411,E,0.006,0.0069
F08Q40006413,E,0.006,0.0069
F08Q40006436,G,0.0129,0.0143
F08Q40006463,D,0.0025,0.0031
F08Q40006469,G,0.0129,0.0143
F08Q40006491,E,0.006,0.0069
F08Q40006502,B,0.0012,0.0016
F08Q40006507,C,0.0015,0.002
F08Q40006510,A,0.0005,0.0008
F08Q40006545,E,0.006,0.0069
F08Q40006548,F,0.0098,0.011
F08Q40006562,B,0.0012,0.0016
F08Q40006572,C,0.0015,0.002
F08Q40006612,B,0.0012,0.0016
F08Q40006623,D,0.0025,0.0031
F08Q40006665,A,0.0005,0.0008
F08Q40006714,D,0.0025,0.0031
F08Q40006727,B,0.0012,0.0016
F08Q40006735,A,0.0005,0.0008
F08Q40006773,B,0.0012,0.0016
F08Q40006779,B,0.0012,0.0016
F08Q40006803,A,0.0005,0.0008
F08Q40006822,B,0.0012,0.0016
F08Q40006830,E,0.006,0.0069
F08Q40006850,E,0.006,0.0069
F08Q40006864,C,0.0015,0.002
F08Q40006882,A,0.0005,0.0008
F08Q40006908,B,0.0012,0.0016
F08Q40006911,C,0.0015,0.002
F08Q40006982,E,0.006,0.0069
F08Q40007006,G,0.0129,0.0143
F08Q40007008,G,0.0129,0.0143
F08Q40007009,F,0.0098,0.011
F08Q40007047,F,0.0098,0.011
F08Q40007076,E,0.006,0.0069
F08Q40007085,D,0.0025,0.0031
F08Q40007089,G,0.0129,0.0143
F08Q40007146,F,0.0098,0.011
F08Q40007150,B,0.0012,0.0016
F08Q40007155,C,0.0015,0.002
F08Q40007175,A,0.0005,0.0008
F08Q40007179,D,0.0025,0.0031
F08Q40007208,D,0.0025,0.0031
F08Q40007289,H,0.0236,0.0267
F08Q40007353,D,0.0025,0.0031
F08Q40007359,E,0.006,0.0069
F08Q40007405,F,0.0098,0.011
F08Q40007410,F,0.0098,0.011
F08Q40007413,F,0.0098,0.011
F08Q40007419,C,0.0015,0.002
F08Q40007439,F,0.0098,0.011
F08Q40007458,F,0.0098,0.011
F08Q40007468,A,0.0005,0.0008
F08Q40007504,C,0.0015,0.002
F08Q40007529,A,0.0005,0.0008
F08Q40007531,F,0.0098,0.011
F08Q40007547,D,0.0025,0.0031
F08Q40007552,B,0.0012,0.0016
F08Q40007554,B,0.0012,0.0016
F08Q40007607,G,0.0129,0.0143
F08Q40007642,B,0.0012,0.0016
F08Q40007683,G,0.0129,0.0143
F08Q40007714,D,0.0025,0.0031
F08Q40007737,E,0.006,0.0069
F08Q40007753,G,0.0129,0.0143
F08Q40007771,B,0.0012,0.0016
F08Q40007779,G,0.0129,0.0143
