feature,information_value,strength
credit_score,0.881,very strong (check)
original_dti,0.3242,strong
original_cltv,0.2719,medium
original_ltv,0.2575,medium
original_loan_term,0.2018,medium
loan_purpose,0.0174,not predictive
occupancy_status,0.0097,not predictive
